Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
6024;Saint-Germain-des-Prés;OUI;26;16;10;7;3;OUI;OUI;2020-03-29T18:32:00+02:00;48.8541851082,2.33030587435;Paris;
21316;Cimetière Communal;OUI;28;25;3;0;3;OUI;OUI;2020-03-29T18:37:37+02:00;48.8176997739,2.26093120873;Issy-les-Moulineaux;
21115;Chancé Milly - Cimetière Communal Sud;OUI;32;28;4;2;2;OUI;OUI;2020-03-29T18:35:42+02:00;48.8968718938,2.30392232537;Clichy;
16009;Saint-Didier - Raymond Poincaré;OUI;17;9;8;3;5;OUI;OUI;2020-03-29T18:35:53+02:00;48.8664231202,2.28586349719;Paris;
21213;Vanne - Général de Gaulle;OUI;25;19;6;4;2;OUI;OUI;2020-03-29T18:32:09+02:00;48.815007,2.328318;Montrouge;
20007;Buzenval - Avron;OUI;50;37;13;10;3;OUI;OUI;2020-03-29T18:36:31+02:00;48.851617205,2.40151359731;Paris;
8020;Batignolles - Beudant;OUI;44;25;18;13;5;OUI;OUI;2020-03-29T18:38:19+02:00;48.8821640147,2.31985297054;Paris;
16001;Portugais - Kléber;OUI;26;24;2;0;2;OUI;OUI;2020-03-29T18:35:54+02:00;48.8712148,2.2937349;Paris;
5024;Place Monge;OUI;21;16;5;1;4;OUI;OUI;2020-03-29T18:35:42+02:00;48.8427618031,2.35240794718;Paris;
51001;Gare d'Argenteuil;OUI;40;34;6;4;2;OUI;OUI;2020-03-29T18:36:25+02:00;48.9470224368,2.2568981722;Argenteuil;
15006;Cherche-Midi - Hôpital Necker;OUI;38;13;25;20;5;OUI;OUI;2020-03-29T18:30:41+02:00;48.8446106331,2.3179140687;Paris;
8050;Boétie - Ponthieu;OUI;33;29;4;0;4;OUI;OUI;2020-03-29T18:29:56+02:00;48.8714172844,2.3076787591;Paris;
92002;Théâtre des Amandiers - Palais des sports;OUI;24;16;8;0;8;OUI;OUI;2020-03-29T18:35:55+02:00;48.8926485268,2.21369415522;Nanterre;
48003;Youri Gagarine - Karl Marx;OUI;22;16;6;3;3;OUI;OUI;2020-03-29T18:36:28+02:00;48.7844848508,2.3590843007;Villejuif;
13118;Regnault - Patay;OUI;63;42;21;14;7;OUI;OUI;2020-03-29T18:37:23+02:00;48.8243578222,2.37706515938;Paris;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;26;6;3;3;OUI;OUI;2020-03-29T18:33:42+02:00;48.8756426475,2.35945880413;Paris;
9022;Rossini - Laffitte;OUI;33;25;8;6;2;OUI;OUI;2020-03-29T18:34:42+02:00;48.8733462751,2.3379808677;Paris;
11113;Richard Lenoir - Republique;OUI;58;46;12;9;3;OUI;OUI;2020-03-29T18:36:15+02:00;48.8667175,2.3692541;Paris;
21006;Marcelin Berthelot;OUI;27;14;13;6;7;OUI;OUI;2020-03-29T18:37:13+02:00;48.8415473059,2.23316162825;Boulogne-Billancourt;
1119;Cossonnerie - Sébastopol;OUI;24;16;8;2;6;OUI;OUI;2020-03-29T18:32:27+02:00;48.8613266591,2.34941963106;Paris;
32302;Chemin Vert - Fraternité;OUI;20;12;8;6;2;OUI;OUI;2020-03-29T18:37:08+02:00;48.8771412084,2.44615651667;Romainville;
22501;Théâtre;OUI;20;16;4;2;2;OUI;OUI;2020-03-29T18:30:32+02:00;48.9057683093,2.23539210223;La Garenne-Colombes;
11035;Parmentier - Abel rabaud;OUI;53;22;31;26;5;OUI;OUI;2020-03-29T18:38:19+02:00;48.8692127384,2.37168882124;Paris;
42015;Place Jean Ferrat;OUI;25;22;3;3;0;OUI;OUI;2020-03-29T18:35:05+02:00;48.8184945213,2.37441748381;Ivry-sur-Seine;
32016;Place de la Porte de Paris;NON;40;40;0;0;0;NON;NON;2019-05-02T10:37:45+02:00;48.9300936321,2.35640376806;Saint-Denis;
7015;Varenne;OUI;47;26;21;17;4;OUI;OUI;2020-03-29T18:36:54+02:00;48.8572026618,2.31527712196;Paris;
23001;Paul Vaillant Couturier - Chaptal;OUI;39;32;7;6;1;OUI;OUI;2020-03-29T18:29:06+02:00;48.8934795762,2.27752536535;Levallois-Perret;
16026;Ranelagh - Mozart;OUI;23;20;3;0;3;OUI;OUI;2020-03-29T18:30:27+02:00;48.8554533455,2.27019153535;Paris;
8002;Gare Saint-Lazare - Cour du Havre;OUI;45;22;23;19;4;OUI;OUI;2020-03-29T18:37:34+02:00;48.8756744009,2.32655983418;Paris;
18045;Pierre Ginier - Clichy;OUI;16;5;10;6;4;OUI;OUI;2020-03-29T18:35:43+02:00;48.8867667,2.326228;Paris;
14130;Jonquoy - Didot;OUI;31;25;6;5;1;OUI;OUI;2020-03-29T18:35:57+02:00;48.8289045482,2.31648076326;Paris;
13043;Dunois - Clisson;OUI;51;41;10;9;1;OUI;OUI;2020-03-29T18:37:59+02:00;48.832294,2.3674523;Paris;
19009;Cité des Sciences et de l'Industrie;OUI;30;17;13;11;2;OUI;OUI;2020-03-29T18:38:14+02:00;48.8965957118,2.38459914923;Paris;
21706;Jean Bleuzen - Square du 11 Novembre;OUI;49;40;9;1;8;OUI;OUI;2020-03-29T18:32:11+02:00;48.8232579,2.2965213;Vanves;
7007;Musée d'Orsay;OUI;65;42;23;21;2;OUI;OUI;2020-03-29T18:36:49+02:00;48.8597261579,2.32586044818;Paris;
8038;François 1er - Montaigne;OUI;29;20;9;8;1;OUI;OUI;2020-03-29T18:34:44+02:00;48.86688765,2.30667557572;Paris;
9118;Faubourg Poissonniere - Delta;OUI;36;32;4;1;3;OUI;OUI;2020-03-29T18:37:43+02:00;48.8825558076,2.34974820167;Paris;
17116;Reims - Porte d'Asnières;OUI;26;16;10;6;4;OUI;OUI;2020-03-29T18:37:19+02:00;48.8918344482,2.30014465995;Paris;
15063;Convention - Saint-Charles;OUI;20;9;11;9;2;OUI;OUI;2020-03-29T18:36:19+02:00;48.8431561111,2.28310905397;Paris;
31018;Gambetta - Michelet;OUI;33;26;7;7;0;OUI;OUI;2020-03-29T18:28:53+02:00;48.8527379238,2.42996603251;Montreuil;
6031;Pierre Sarrazin - Saint-Michel;OUI;33;14;19;19;0;OUI;OUI;2020-03-29T18:37:00+02:00;48.8509081464,2.34213072807;Paris;
18142;Jessaint - Marx Dormoy;OUI;30;17;13;4;9;OUI;OUI;2020-03-29T18:35:41+02:00;48.8848454311,2.35893040895;Paris;
18014;Léon - Doudeauville;OUI;13;10;3;1;2;OUI;OUI;2020-03-29T18:32:36+02:00;48.8883242185,2.35357337264;Paris;
12010;Daumesnil - Picpus;OUI;21;7;14;14;0;OUI;OUI;2020-03-29T18:37:38+02:00;48.8374688,2.401765;Paris;
12129;Bois de Vincennes - Porte Jaune;OUI;35;24;11;9;2;OUI;OUI;2020-03-29T18:37:35+02:00;48.8387512467,2.46054891497;Paris;
13515;Auguste Blanqui - Glacière;OUI;60;29;31;26;5;OUI;OUI;2020-03-29T18:36:43+02:00;48.831151603,2.34382219613;Paris;
13039;Ivry - Simone Weil;OUI;18;13;6;4;2;OUI;OUI;2020-03-29T18:29:43+02:00;48.823283932,2.36590951681;Paris;
7111;Ecole Militaire - Place Joffre;OUI;26;19;7;6;1;OUI;OUI;2020-03-29T18:35:12+02:00;48.8520602036,2.30179935694;Paris;
21030;Fessart - Château;OUI;20;5;15;10;5;OUI;OUI;2020-03-29T18:35:55+02:00;48.84245,2.23989;Boulogne-Billancourt;
20009;Docteurs Déjérine - Pte de Montreuil;OUI;20;16;4;2;2;OUI;OUI;2020-03-29T18:34:31+02:00;48.8539844813,2.41208288897;Paris;
21219;Amaury Duval - Gabriel Péri;OUI;36;32;4;3;1;OUI;OUI;2020-03-29T18:32:54+02:00;48.8171875967,2.32384175062;Montrouge;
17015;Place de Lévis;OUI;48;39;9;6;3;OUI;OUI;2020-03-29T18:32:42+02:00;48.8835468515,2.31319338083;Paris;
35006;Delizy - Louis Nadot;OUI;23;20;3;1;2;OUI;OUI;2020-03-29T18:33:53+02:00;48.8962128456,2.40945786238;Pantin;
17119;Toqueville - Cardinet;OUI;33;25;8;5;3;OUI;OUI;2020-03-29T18:38:21+02:00;48.8849018711,2.31093931943;Paris;
21319;Esplanade du Foncet - Camille Desmoulins;OUI;28;14;14;8;6;OUI;OUI;2020-03-29T18:32:19+02:00;48.8270902335,2.2606857866;Issy-les-Moulineaux;
18044;Clichy - Douai;OUI;32;26;6;1;5;OUI;OUI;2020-03-29T18:35:12+02:00;48.8841183189,2.32872873545;Paris;
21314;Chemin de Bretagne;OUI;29;25;4;3;1;OUI;OUI;2020-03-29T18:34:58+02:00;48.825147,2.25936;Issy-les-Moulineaux;
17024;Villiers - Batignolles;OUI;23;15;8;4;4;OUI;OUI;2020-03-29T18:35:46+02:00;48.8812525385,2.31653843075;Paris;
15008;Sèvres - Lecourbe;OUI;62;34;28;26;2;OUI;OUI;2020-03-29T18:37:46+02:00;48.8447677,2.3110086;Paris;
19110;Square Claude Bernard;OUI;30;27;3;1;2;OUI;OUI;2020-03-29T18:36:22+02:00;48.8987601622,2.37532574683;Paris;
8103;Artois - Berri;OUI;23;12;11;6;5;OUI;OUI;2020-03-29T18:35:38+02:00;48.8739352124,2.30642583221;Paris;
19010;Emile Reynaud - Porte de la Villette;OUI;22;15;8;4;4;OUI;OUI;2020-03-29T18:35:06+02:00;48.9009895363,2.38870225847;Paris;
15132;Bargue -  Dutot;OUI;21;17;4;1;3;OUI;OUI;2020-03-29T18:34:41+02:00;48.837884,2.308876;Paris;
